"block","lot","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","sale_price","borough_Manhattan","borough_Queens","borough_Staten Island","tax_class_at_present_1","tax_class_at_present_1A","tax_class_at_present_1C","tax_class_at_present_2","tax_class_at_present_2A","tax_class_at_present_2B","tax_class_at_present_2C","tax_class_at_present_4"
600,1110,0,0,0,-1.00853516296613,-0.130349967897541,2017,2,877939,0,1,0,0,0,0,1,0,0,0,0
2389,111,1,0,1,0.552930663574968,-0.0700959301809301,1980,1,475000,0,0,1,1,0,0,0,0,0,0,0
1433,1001,0,0,0,-1.00853516296613,-0.116226340169701,1951,2,30000,0,1,0,0,0,0,1,0,0,0,0
12475,35,1,0,1,-0.0911051826247093,-0.0375811037571267,1935,1,502000,0,1,0,1,0,0,0,0,0,0,0
10438,6,1,0,1,0.95476499496451,-0.000595488700050319,1930,1,650000,0,1,0,1,0,0,0,0,0,0,0
9000,39,2,0,2,-0.0911051826247093,0.0792690537034168,1960,1,815000,0,1,0,1,0,0,0,0,0,0,0
13155,42,1,0,1,0.157518342047816,-0.0611543529143842,1930,1,420000,0,1,0,1,0,0,0,0,0,0,0
245,1519,0,0,0,-1.00853516296613,-0.181255993017308,2008,4,151086,0,0,0,0,0,0,0,0,0,0,1
7831,53,2,0,2,-0.0144997792662007,-0.010248327794617,1935,1,420000,0,0,0,1,0,0,0,0,0,0,0
3127,44,2,0,2,1.2414618638212,0.0318177288911787,1950,1,1350000,0,1,0,1,0,0,0,0,0,0,0
2918,1002,0,0,0,-1.00853516296613,-0.0530256463084333,2005,2,1085000,0,0,0,0,0,0,0,0,0,1,0
631,1105,0,0,0,-1.00853516296613,-0.184609084492263,2015,4,1577778,0,0,0,0,0,0,0,0,0,0,1
1642,61,2,0,2,-0.354866301972868,-0.0611543529143842,1899,1,850000,0,0,0,1,0,0,0,0,0,0,0
8859,17,1,0,1,0.155683482087133,-0.0570899996114088,1920,1,630000,0,1,0,1,0,0,0,0,0,0,0
7094,68,1,0,1,1.0221960985196,0.0223681074617608,2017,1,762669,0,0,1,1,0,0,0,0,0,0,0
4308,33,2,0,2,-0.0911051826247093,0.0437059623023818,2008,1,4e+05,0,0,0,1,0,0,0,0,0,0,0
11203,38,1,0,1,0.4960500047938,-0.104134889093349,1945,1,505000,0,1,0,1,0,0,0,0,0,0,0
913,63,2,0,2,-0.0897290376541972,-0.0172593372422496,1915,1,1e+06,0,0,0,1,0,0,0,0,0,0,0
5043,1001,0,0,0,-1.00853516296613,-0.100172144622948,2016,2,763688,0,0,0,0,0,0,1,0,0,0,0
5598,43,2,1,3,-0.274591178692993,0.0741886120746976,1930,1,1250000,0,0,0,1,0,0,0,0,0,0,0
7410,130,2,0,2,0.291004404187492,-0.0436776337115898,1955,1,619000,0,0,0,1,0,0,0,0,0,0,0
1558,114,2,0,2,-0.109453782231538,-0.0172593372422496,2002,1,1038000,0,0,0,1,0,0,0,0,0,0,0
16,2118,0,0,0,-1.00853516296613,-0.123338958449908,0,2,685000,1,0,0,0,0,0,1,0,0,0,0
3654,47,1,0,1,0.0923808134435748,-0.11480381651366,1950,1,670000,0,1,0,1,0,0,0,0,0,0,0
10659,89,1,0,1,0.367609807546001,-0.0299604413140478,1930,1,710000,0,1,0,1,0,0,0,0,0,0,0
7184,133,2,0,2,-0.182848180658851,0.000522208458267923,1950,1,995000,0,0,0,1,0,0,0,0,0,0,0
5130,1010,0,0,0,-1.00853516296613,-0.102610756604734,0,2,494710,0,0,0,0,0,0,1,0,0,0,0
5606,1324,0,0,0,-1.00853516296613,0.078252965377673,2006,1,675000,0,0,0,0,1,0,0,0,0,0,0
8818,26,1,0,1,-0.175050025825949,-0.0891983907049146,1925,1,632000,0,0,0,1,0,0,0,0,0,0,0
4741,27,1,0,1,-0.0681694331161738,-0.0570899996114088,1920,1,335000,0,0,0,1,0,0,0,0,0,0,0
785,9,3,0,3,-0.268627883820774,0.135153911619329,1930,1,410000,0,0,0,1,0,0,0,0,0,0,0
3759,68,3,0,3,0.165316496880718,0.215628107018242,1920,1,475000,0,0,0,1,0,0,0,0,0,0,0
921,1008,0,0,0,-1.00853516296613,-0.00608236565906715,1910,2,2325000,1,0,0,0,0,0,0,0,0,1,0
5818,1033,0,0,0,-1.00853516296613,-0.155447349543414,1990,2,325000,0,0,0,0,0,0,1,0,0,0,0
2775,24,1,0,1,-0.0704630080670273,-0.096920661980568,1925,1,436500,0,1,0,1,0,0,0,0,0,0,0
3346,49,2,0,2,1.56026878198985,0.353612901654258,1910,1,1800000,0,1,0,1,0,0,0,0,0,0,0
763,174,1,0,1,1.34467273660961,0.0255179812715668,1960,1,850000,0,0,1,1,0,0,0,0,0,0,0
9864,84,2,0,2,0.751554254318886,-0.0369714507616804,1925,1,875000,0,1,0,1,0,0,0,0,0,0,0
6463,113,2,0,2,-0.173673880855437,-0.040019715738912,1950,1,1250000,0,0,0,1,0,0,0,0,0,0,0
5020,1132,0,0,0,-1.00853516296613,-0.116327949002276,2001,2,670000,0,1,0,0,0,0,1,0,0,0,0
2185,1006,0,0,0,-1.00853516296613,-0.0934659616730388,2009,1,430000,0,1,0,0,1,0,0,0,0,0,0
3830,33,1,0,1,-0.18193075067851,-0.0867597787231294,1986,1,310000,0,0,0,1,0,0,0,0,0,0,0
4164,11,1,0,1,-0.400737800989939,-0.0806632487686662,1910,1,350000,0,0,0,1,0,0,0,0,0,0,0
2450,1092,0,0,0,-1.00853516296613,-0.132077318051305,1975,1,272500,0,0,1,0,1,0,0,0,0,0,0
1842,1066,0,0,0,-1.00853516296613,-0.150062081416972,1986,4,275000,0,1,0,0,0,0,0,0,0,0,1
5634,1002,0,0,0,-1.00853516296613,-0.118156907988615,1929,4,12000,0,0,0,0,0,0,0,0,0,0,1
5193,1571,0,0,0,-1.00853516296613,-0.184609084492263,2012,4,689000,0,1,0,0,0,0,0,0,0,0,1
6802,1102,0,0,0,-1.00853516296613,-0.098241576804035,0,2,610000,0,0,0,0,0,0,1,0,0,0,0
5723,1133,0,0,0,-1.00853516296613,-0.186438043478602,1986,4,585000,0,0,0,0,0,0,0,0,0,0,1
9467,10,2,0,2,-0.182848180658851,-0.00100192403034786,1901,1,755000,0,1,0,1,0,0,0,0,0,0,0
5328,1015,0,0,0,-1.00853516296613,-0.0652187062173596,2002,2,920000,0,0,0,0,0,0,1,0,0,0,0
5045,72,1,0,1,0.725866214869326,0.0191166248193805,1910,1,1640000,0,0,0,1,0,0,0,0,0,0,0
2134,1446,0,0,0,-1.00853516296613,-0.117039210830296,1900,2,590000,1,0,0,0,0,0,1,0,0,0,0
5510,1503,0,0,0,-1.00853516296613,-0.0248799996853285,2017,2,992794,0,0,0,0,1,0,0,0,0,0,0
4868,16,3,0,3,0.221279725681544,0.0199294954799756,1930,1,395000,0,0,0,1,0,0,0,0,0,0,0
4563,61,2,0,2,-0.11771065205461,-0.0209172552149275,1945,1,544000,0,0,0,1,0,0,0,0,0,0,0
2737,129,2,0,2,0.756600119210764,0.00306242927262757,1910,1,750000,0,0,0,1,0,0,0,0,0,0,0
1018,1275,0,0,0,-1.00853516296613,-0.0579028702720038,2006,2,2350000,1,0,0,0,0,0,1,0,0,0,0
12666,99,2,0,2,0.918067795750854,-0.0952949206593778,1930,1,519400,0,1,0,1,0,0,0,0,0,0,0
2879,54,1,0,1,-0.347068147139966,-0.0918402203518487,2004,1,459000,0,0,1,1,0,0,0,0,0,0,0
4874,42,2,0,2,-0.228719679675922,-0.0765988954656908,1935,1,365040,0,0,0,1,0,0,0,0,0,0,0
1106,51,2,0,2,-0.13697668164178,-0.0765988954656908,1920,1,550000,0,1,0,1,0,0,0,0,0,0,0
5893,1637,0,0,0,-1.00853516296613,-0.105557412749391,1972,2,595000,0,1,0,0,0,0,1,0,0,0,0
659,27,1,0,1,1.89788301475549,-0.108707286559197,1960,1,6e+05,0,0,1,1,0,0,0,0,0,0,0
5394,36,2,0,2,-0.0911051826247093,-0.021323690545225,1925,1,850000,0,0,0,1,0,0,0,0,0,0,0
3909,16,2,0,2,-0.501655098827495,-0.0676573181991449,1901,1,510000,0,0,0,1,0,0,0,0,0,0,0
13158,26,1,0,1,0.459352805580143,-0.0601382645886403,1930,1,624000,0,1,0,1,0,0,0,0,0,0,0
5609,71,2,0,2,0.0442157394756503,0.161978643418967,1910,1,925000,0,0,0,1,0,0,0,0,0,0,0
5521,75,1,0,1,0.0465093144265038,-0.0359553624359365,1930,1,890000,0,0,0,1,0,0,0,0,0,0,0
717,1010,0,0,0,-1.00853516296613,-0.13797063034062,1920,2,1145000,1,0,0,0,0,0,1,0,0,0,0
13981,45,1,0,1,0.937333825338023,-0.0733474128233105,1960,1,685000,0,1,0,1,0,0,0,0,0,0,0
1118,1032,0,0,0,-1.00853516296613,-0.155447349543414,1939,2,655000,1,0,0,0,0,0,1,0,0,0,0
4298,23,2,0,2,-0.00624290944312788,0.0122072242043223,1899,1,890000,0,0,0,1,0,0,0,0,0,0,0
7412,39,1,0,1,1.51439728297278,-0.0660315768779547,1950,1,960000,0,1,0,1,0,0,0,0,0,0,0
1539,1457,0,0,0,-1.00853516296613,-0.128521008911202,1986,2,1089349,1,0,0,0,0,0,1,0,0,0,0
5102,125,1,0,1,-0.103031772369148,0.035577255696431,1920,1,1650000,0,0,0,1,0,0,0,0,0,0,0
4394,56,2,0,2,1.05568229280207,0.0374062146827699,1960,1,350000,0,0,1,1,0,0,0,0,0,0,0
1254,1004,0,0,0,-1.00853516296613,-0.0903160878632329,0,2,860000,0,0,0,0,0,0,0,0,0,1,0
12656,55,1,0,1,0.459352805580143,-0.0802568134383687,1944,1,1800000,0,1,0,1,0,0,0,0,0,0,0
567,1087,0,0,0,-1.00853516296613,-0.126590441092289,1921,2,1600000,1,0,0,0,0,0,1,0,0,0,0
6797,1221,0,0,0,-1.00853516296613,-0.0989528386320557,0,1,150000,0,1,0,0,1,0,0,0,0,0,0
601,1021,0,0,0,-1.00853516296613,-0.0690798418551863,1920,2,1750000,1,0,0,0,0,0,1,0,0,0,0
15454,28,1,0,1,0.12770186768672,-0.0961077913199729,1920,1,169000,0,1,0,1,0,0,0,0,0,0,0
4299,12,2,0,2,0.138252312460646,0.0437059623023818,1960,1,710000,0,0,0,1,0,0,0,0,0,0,0
5863,1049,0,0,0,-1.00853516296613,-0.078224636786881,1966,1,745000,0,1,0,0,1,0,0,0,0,0,0
2360,1007,0,0,0,-1.00853516296613,-0.135125583028537,1973,2,262900,0,0,1,0,0,0,1,0,0,0,0
4102,32,1,0,1,0.138252312460646,0.0632148581566639,1930,1,686000,0,0,0,1,0,0,0,0,0,0,0
108,1031,0,0,0,-1.00853516296613,-0.125675961599119,0,2,840000,0,0,0,0,0,0,1,0,0,0,0
13017,56,2,0,2,0.413481306563072,-0.0264041321739443,1925,1,575000,0,1,0,1,0,0,0,0,0,0,0
6775,230,2,0,2,1.19329678985328,-0.0203076022194811,2004,1,650000,0,0,1,1,0,0,0,0,0,0,0
7908,78,1,0,1,-0.306701228004943,-0.0965142266502704,1945,1,5e+05,0,0,0,1,0,0,0,0,0,0,0
2994,40,1,0,1,-0.0911051826247093,-0.0337199681193001,1940,1,880000,0,1,0,1,0,0,0,0,0,0,0
25,1681,0,0,0,-1.00853516296613,-0.0922466556821462,2005,2,1350000,1,0,0,0,0,0,1,0,0,0,0
12825,329,2,0,2,2.01898377216056,-0.0172593372422496,1945,1,795000,0,1,0,1,0,0,0,0,0,0,0
6263,33,1,0,1,0.0387111595936017,-0.0741602834839056,1925,1,760000,0,0,0,1,0,0,0,0,0,0,0
865,1004,0,0,0,-1.00853516296613,-0.0907225231935304,1985,2,1030000,1,0,0,0,0,0,1,0,0,0,0
1238,1231,0,0,0,-1.00853516296613,-0.0668444475385498,0,2,1170988,1,0,0,0,0,0,1,0,0,0,0
