"category_id","views","likes","dislikes","comment_count","ratings_disabled_True","video_error_or_removed_False","video_error_or_removed_True"
26,0.0690717082302031,-0.225218865405164,0.051743407319798,-0.0710340566862077,0,1,0
24,-0.255498939910551,-0.311320043576945,-0.104058657223977,-0.203619274636109,0,1,0
10,0.591574823449165,1.86653379111013,0.701614133726267,2.22490719963964,0,1,0
17,-0.309453008767818,-0.383837131487361,-0.148763839078484,-0.25726875289016,0,1,0
25,-0.310400703601475,-0.384303084078397,-0.148959742592307,-0.257406821400373,0,1,0
24,-0.248706390576389,-0.233717497633076,-0.120965130466939,-0.211982281540417,0,1,0
10,1.45232888625692,4.28692595454837,0.264004864547486,1.41986916473556,0,1,0
22,-0.249683329406467,-0.220565056704511,-0.134325750109697,-0.245690722105186,0,1,0
10,-0.302791005475233,-0.378205679926989,-0.146119141641868,-0.253836764207732,0,1,0
10,0.191315926233382,0.158986202650011,0.14515020271081,-0.0317042553484952,0,1,0
17,-0.294784146527095,-0.356971963079048,-0.143787889827369,-0.24916215893339,0,1,0
25,-0.297540761369583,-0.379397718150682,-0.146550129372279,-0.252120769866518,0,1,0
10,-0.261114891762812,-0.275801878278659,-0.13301319656708,-0.218432053374635,0,1,0
26,-0.295105357113682,-0.361139808954694,-0.096242107022422,-0.200581767411431,0,1,0
26,-0.202374011987781,-0.101947248330074,0.0798555615534604,-0.0322959775351208,0,1,0
24,-0.272597473321546,-0.348504775504519,-0.106958029228564,-0.235453928276564,0,1,0
10,-0.263923419958659,-0.320567630276338,-0.13268016059358,-0.239398742854068,0,1,0
10,-0.0228563211450911,0.433941110433967,-0.069011518600965,-0.0162997544233431,0,1,0
23,-0.133576879242046,0.194981754958745,-0.0825092707033994,0.138179184431704,0,1,0
24,-0.193235946868733,-0.176874140131553,-0.113148580265384,-0.188944564407795,0,1,0
26,-0.298354491349131,-0.355722752758295,-0.144140516152251,-0.245177896210111,0,1,0
24,-0.0194359832975018,0.370048433364994,-0.119574215518793,-0.0468326192532221,0,1,0
10,-0.13171814976449,0.208091316814515,-0.0869562804671913,0.00391742028636367,0,1,0
10,-0.277954962946445,-0.312594981341374,-0.139223337955283,-0.230542634127572,0,1,0
10,-0.306975632013458,-0.371305007811894,-0.143278540691428,-0.24931995151649,0,1,0
28,-0.228048873320385,-0.233371606445865,-0.119143227788381,-0.142336580174588,0,1,0
17,-0.306378023582999,-0.382590779771462,-0.147490466238632,-0.245335688793211,0,1,0
22,-0.305090814366433,-0.370012918418346,-0.147412104833102,-0.251982701356305,0,1,0
